"MacBookPro10,1",ME665LL/A,9219,2.7 GHz Core i7 (I7-3740QM),NVIDIA GeForce GT 650M,2013,Intel HD Graphics 4000,85W,A1398,2673,15.4,A1618
"MacBookPro10,1",ME698LL/A,9220,2.8 GHz Core i7 (I7-3840QM),NVIDIA GeForce GT 650M,2013,Intel HD Graphics 4000,85W,A1398,2673,15.4,A1618
"MacBookPro11,1",ME864LL/A,9221,2.4 GHz Core i5 (I5-4258U),Intel Iris 5100 graphics,2013,,60W,A1502,2678,13.3,A1493
"MacBookPro11,1",ME866LL/A,9222,2.6 GHz Core i5 (I5-4288U),Intel Iris 5100 graphics,2013,,60W,A1502,2678,13.3,A1493
"MacBookPro11,1",ME867LL/A,9223,2.8 GHz Core i7 (I7-4558U),Intel Iris 5100 graphics,2013,,60W,A1502,2678,13.3,A1493
"MacBookPro11,2",ME293LL/A,9224,2.0 GHz Core i7 (I7-4750HQ),Intel Iris 5200 Pro,2013,,80W  MAGSAFE 2,A1502,2674,15.4,A1494
"MacBookPro11,2",ME293LL/A BTO 2.3,9225,2.3 GHz Core i7 (I7-4850HQ),Intel Iris 5200 Pro,2013,,80W  MAGSAFE 2,A1502,2674,15.4,A1494
"MacBookPro11,2",ME293LL/A BTO 2.6,9226,2.6 GHz Core i7 (I7-4960HQ),Intel Iris 5200 Pro,2013,,80W  MAGSAFE 2,A1502,2674,15.4,A1494
"MacBookPro11,3",ME294LL/A,9227,2.3 GHz Core i7 (I7-4850HQ),NVIDIA GeForce GT 750M,2013,Intel Iris 5200 Pro,85W,A1398,2745,15.4,A1618
"MacBookPro11,3",ME874LL/A,9228,2.6 GHz Core i7 (I7-4960HQ),NVIDIA GeForce GT 750M,2013,Intel Iris 5200 Pro,85W,A1398,2745,15.4,A1618
"MacBookPro11,1",MGX72LL/A,9229,2.6 GHz Core i5 (I5-4278U),Intel Iris 5100 graphics,2014,,80W  MAGSAFE 2,A1502,2875,13.3,A1493
"MacBookPro11,1",MGX92LL/A,9230,2.8 GHz Core i5 (I5-4308U),Intel Iris 5100 graphics,2014,,80W  MAGSAFE 2,A1502,2875,13.3,A1493
"MacBookPro11,1",MGXD2LL/A,9231,3.0 GHz Core i7 (I7-4578U),Intel Iris 5100 graphics,2014,,80W  MAGSAFE 2,A1502,2875,13.3,A1493
"MacBookPro11,2",MGXA2LL/A,9232,2.2 GHz Core i7 (I7-4770HQ),Intel Iris 5200 Pro,2014,,80W  MAGSAFE 2,A1502,2876,15.4,A1494
"MacBookPro11,2",MGXA2LL/A BTO 2.5,9233,2.5 GHz Core i7 (I7-4870HQ),Intel Iris 5200 Pro,2014,,80W  MAGSAFE 2,A1502,2876,15.4,A1494
"MacBookPro11,2",MGXA2LL/A BTO 2.8,9234,2.8 GHz Core i7 (I7-4980HQ),Intel Iris 5200 Pro,2014,,80W  MAGSAFE 2,A1502,2876,15.4,A1494
"MacBookPro11,3",MGXC2LL/A,9235,2.5 GHz Core i7 (I7-4870HQ),NVIDIA GeForce GT 750M,2014,Intel Iris 5200 Pro,85W  MAGSAFE 2,A1398,2881,15.4,A1618
"MacBookPro11,3",MGXG2LL/A,9236,2.8 GHz Core i7 (I7-4980HQ),NVIDIA GeForce GT 750M,2014,Intel Iris 5200 Pro,85W  MAGSAFE 2,A1398,2881,15.4,A1618
"MacBookPro12,1",MF839LL/A,9237,2.7 GHz Core i5 (I5-5257U),Intel Iris 6100 Graphics,2015,,80W  MAGSAFE 2,A1502,2835,13.3,A1582
"MacBookPro12,1",MF841LL/A,9238,2.9 GHz Core i5 (I5-5287U),Intel Iris 6100 Graphics,2015,,60W  MAGSAFE 2,A1502,2835,13.3,A1582
"MacBookPro12,1",MF843LL/A,9239,3.1 GHz Core i7 (I7-5557U),Intel Iris 6100 Graphics,2015,,60W  MAGSAFE 2,A1502,2835,13.3,A1582
"MacBookPro11,4",MJLQ2LL/A,9240,2.2 GHz Core i7 (I7-4770HQ),Intel Iris 5200 Pro,2015,,85W  MAGSAFE 2,A1398,2909,15.4,A1618
"MacBookPro11,4",MJLQ2LL/A BTO 2.5,9241,2.5 GHz Core i7 (I7-4870HQ),Intel Iris 5200 Pro,2015,,85W  MAGSAFE 2,A1398,2909,15.4,A1618
"MacBookPro11,4",MJLQ2LL/A BTO 2.8,9242,2.8 GHz Core i7 (I7-4980HQ),Intel Iris 5200 Pro,2015,,85W  MAGSAFE 2,A1398,2909,15.4,A1618
"MacBookPro11,5",MJLT2LL/A,9243,2.5 GHz Core i7 (I7-4870HQ),AMD Radeon R9 M370X,2015,Intel Iris 5200 Pro,85W  MAGSAFE 2,A1398,2910,15.4,A1618
"MacBookPro11,5",MJLU2LL/A,9244,2.8 GHz Core i7 (I7-4980HQ),AMD Radeon R9 M370X,2015,Intel Iris 5200 Pro,85W  MAGSAFE 2,A1398,2910,15.4,A1618
"MacBookPro13,1",MLL42LL/A,9245,2.0 GHz Core i5 (I5-6360U),Intel Iris Graphics 540,2016,,61W  USB C,A1708,2978,13.3,A1713
"MacBookPro13,1",MLL42LL/A BTO,9246,2.4 GHz Core i7 (I7-6660U),Intel Iris Graphics 540,2016,,61W  USB C,A1708,2978,13.3,A1713
"MacBookPro13,2",MLH12LL/A,9247,2.9 GHz Core i5 (I5-6267U),Intel Iris Graphics 550 ,2016,,61W  USB C,A1706,3071,13.3,A1819
"MacBookPro13,2",MLH12LL/A BTO 3.1,9248,3.1 GHz Core i5 (I5-6287U),Intel Iris Graphics 550 ,2016,,61W  USB C,A1706,3071,13.3,A1819
"MacBookPro13,2",MLH12LL/A BTO 3.3,9249,3.3 GHz Core i7 (I7-6567U),Intel Iris Graphics 550 ,2016,,61W  USB C,A1706,3071,13.3,A1819
"MacBookPro13,3",MLH32LL/A,9250,2.6 GHz Core i7 (I7-6700HQ),AMD Radeon Pro 450,2016,Intel HD Graphics 530,85W USB C,A1707,3072,15.4,A1820
"MacBookPro13,3",MLH42LL/A,9251,2.7 GHz Core i7 (I7-6820HQ),AMD Radeon Pro 455,2016,Intel HD Graphics 530,85W USB C,A1707,3072,15.4,A1820
"MacBookPro13,3",MLH42LL/A BTO,9252,2.9 GHz Core i7 (I7-6920HQ),AMD Radeon Pro 460,2016,Intel HD Graphics 530,85W USB C,A1707,3072,15.4,A1820
