"MacBookPro16,1",I9-9880H,AMD Radeon Pro 5500M,
"MacBookPro16,1",I9-9980HK,AMD Radeon Pro 5300M,
"MacBookPro16,1",I9-9980HK,AMD Radeon Pro 5500M,
"MacBookPro15,2",I5-8259U,Intel Iris Plus Graphics 655,
"MacBookPro15,2",I7-8559U,Intel Iris Plus Graphics 655,
"MacBookPro15,1",I7-8750H,AMD Radeon Pro 555X,
"MacBookPro15,1",I9-8950HK,AMD Radeon Pro 555X,
"MacBookPro15,1",I7-8850H,AMD Radeon Pro 560X,
"MacBookPro15,1",I9-8950HK,AMD Radeon Pro 560X,
"MacBookPro15,3",I7-8850H,AMD Radeon Pro Vega 16,
"MacBookPro15,3",I7-8850H,AMD Radeon Pro Vega 20,
"MacBookPro15,3",I9-8950HK,AMD Radeon Pro Vega 16,
"MacBookPro15,3",I9-8950HK,AMD Radeon Pro Vega 20,
"MacBookPro15,2",I5-8279U,Intel Iris Plus Graphics 655,
"MacBookPro15,2",I7-8569U,Intel Iris Plus Graphics 655,
"MacBookPro15,1",I7-9750H,AMD Radeon Pro 555X,
"MacBookPro15,1",I9-9880H,AMD Radeon Pro 560X,
"MacBookPro15,3",I9-9880H,AMD Radeon Pro Vega 16,
"MacBookPro15,3",I9-9880H,AMD Radeon Pro Vega 20,
"MacBookPro15,1",I9-9980HK,AMD Radeon Pro 555X,
"MacBookPro15,1",I9-9980HK,AMD Radeon Pro 560X,
"MacBookPro15,3",I9-9980HK,AMD Radeon Pro Vega 16,
"MacBookPro9,2",I5-3210M,Intel HD Graphics 4000,
"MacBookPro9,2",I7-3520M,Intel HD Graphics 4000,
"MacBookPro9,1",I7-3615QM,NVIDIA GeForce GT 650M,
"MacBookPro9,1",I7-3720QM,NVIDIA GeForce GT 650M,
"MacBookPro8,1",I5-2435M,Intel HD Graphics 3000,
"MacBookPro8,1",I7-2640M,Intel HD Graphics 3000,
"MacBookPro8,2",I7-2675QM,AMD Radeon HD 6750M,
"MacBookPro8,2",I7-2760QM,AMD Radeon HD 6770M,
"MacBookPro8,2",I7-2860QM,AMD Radeon HD 6770M,
"MacBookPro8,3",I7-2760QM,AMD Radeon HD 6770M,
"MacBookPro8,3",I7-2860QM,AMD Radeon HD 6770M,
"MacBookPro8,1",I5-2415M,HD Graphics 3000,
"MacBookPro8,1",I7-2620M,HD Graphics 3000,
"MacBookPro8,2",I7-2635QM,AMD Radeon HD 6490M,
